feature,mean_f1_drop,std
worst area,0.008760567009218156,0.008201436851717968
mean area,0.007183908045977017,0.0
compactness error,0.007183908045977017,0.0
mean concave points,0.006495659512900908,0.006007361772146475
concave points error,0.006465517241379315,0.0021551724137931047
concavity error,0.0057471264367816135,0.0028735632183908067
worst texture,0.004465075154730358,0.004659338733971004
mean smoothness,0.00431034482758621,0.003519381814343649
worst fractal dimension,0.00431034482758621,0.0035193818143436496
mean radius,0.00431034482758621,0.003519381814343649
radius error,0.00431034482758621,0.0035193818143436496
mean perimeter,0.0035919540229885083,0.0035919540229885083
worst perimeter,0.0030858987755539857,0.007190486245142603
worst radius,0.003076186265841474,0.005614110344675927
symmetry error,0.0028735632183908067,0.003519381814343649
mean fractal dimension,0.0028735632183908067,0.003519381814343649
worst concave points,0.002464038713431671,0.00706514258095095
worst smoothness,0.002155172413793105,0.0032920802406291977
mean compactness,0.0014367816091954034,0.002873563218390807
area error,0.0007183908045977017,0.0021551724137931047
mean concavity,0.0007183908045977017,0.0021551724137931047
mean texture,0.0,0.0
perimeter error,0.0,0.0
texture error,0.0,0.0
mean symmetry,0.0,0.0
smoothness error,0.0,0.0
fractal dimension error,0.0,0.0
worst compactness,0.0,0.0
worst concavity,0.0,0.0
worst symmetry,0.0,0.0
