feature,importance
worst area,0.1413204751084471
worst perimeter,0.13371913118316844
worst concave points,0.11051439393717423
mean concave points,0.08834655931349043
worst radius,0.08215088167345437
mean radius,0.06379854448988173
mean perimeter,0.05280885637023778
mean area,0.05040945887875335
mean concavity,0.05028399627307674
worst concavity,0.033928092115728496
area error,0.030164468612697008
worst texture,0.01853876709835053
worst smoothness,0.016073467265151232
worst compactness,0.016009655120605783
radius error,0.015896903029002634
mean compactness,0.014996077036008639
mean texture,0.011150600498073445
worst symmetry,0.008844573007846251
perimeter error,0.007835309932990805
mean smoothness,0.006799847031506907
worst fractal dimension,0.006367608563975022
compactness error,0.005044796832384635
texture error,0.004893772388106973
mean symmetry,0.004665137609102953
fractal dimension error,0.004580744528851982
mean fractal dimension,0.00445190660214482
smoothness error,0.004300713423312072
concave points error,0.004194355635899133
concavity error,0.004023877914750239
symmetry error,0.0038870285258263857
