Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,256,FALSE,1.56,16,3.27,2413.36,5,144.80
Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,SSD,1024,TRUE,1.45,14,5.03,1773.75,5,124.16
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.34,14,4.41,1634.07,5,98.04
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,SSD,4096,TRUE,1.18,13.3,2.16,2362.59,5,118.13
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,1024,TRUE,1.31,14,6.93,2218.55,5,155.30
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,FALSE,3.34,17.3,8.94,2224.12,5,155.69
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,1024,TRUE,1.11,13.3,11.72,3016.36,5,211.15
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,TRUE,1.29,13.3,8.84,2579.29,5,180.55
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,4096,FALSE,1.4,13.3,6.92,1976.94,5,98.85
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,FALSE,1.15,13.3,5.25,2538.34,5,152.30
Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,SSD,256,TRUE,1.06,14,11.82,1274.02,5,76.44
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,TRUE,2.47,15.6,1.83,1353.51,5,94.75
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,SSD,2048,TRUE,1.6,16,5.08,1981.07,5,99.05
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,512,TRUE,1.34,14,10.31,1597.48,5,111.82
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,SSD,1024,FALSE,1.39,14,0.98,1945.12,5,136.16
