Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD,RAM_per_kg
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,1.56,16.0,3640.18,41.02564102564102
Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,1024,True,1.45,14.0,3009.03,22.06896551724138
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,1.34,14.0,2434.03,23.88059701492537
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,4096,True,1.18,13.3,2863.3,13.559322033898306
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,1024,True,1.31,14.0,3036.3,6.106870229007633
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,256,False,3.34,17.3,3832.94,9.580838323353294
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,1024,True,1.11,13.3,4966.61,115.3153153153153
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,True,1.29,13.3,2965.92,12.403100775193797
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,False,1.4,13.3,2861.7,45.714285714285715
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,False,1.15,13.3,2850.74,13.913043478260871
Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,256,True,1.06,14.0,2125.69,30.188679245283016
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.47,15.6,1905.52,3.2388663967611335
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,2048,True,1.6,16.0,2483.57,5.0
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,512,True,1.34,14.0,2643.73,47.76119402985074
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,1024,False,1.39,14.0,2875.48,92.08633093525181
